Country,Deaths2000,Deaths2018,PercentChange,Trend
Rwanda,18000.0,2900.0,-83.9,StronglyImproved
Burundi,11000.0,1900.0,-82.7,StronglyImproved
Zimbabwe,120000.0,22000.0,-81.7,StronglyImproved
Ethiopia,58000.0,11000.0,-81.0,StronglyImproved
Peru,5100.0,1000.0,-80.4,StronglyImproved
Kenya,120000.0,25000.0,-79.2,StronglyImproved
Haiti,12000.0,2700.0,-77.5,StronglyImproved
Malawi,57000.0,13000.0,-77.2,StronglyImproved
Honduras,3200.0,780.0,-75.6,StronglyImproved
Dominican Republic,4800.0,1200.0,-75.0,StronglyImproved
Uganda,85000.0,23000.0,-72.9,StronglyImproved
Zambia,62000.0,17000.0,-72.6,StronglyImproved
Burkina Faso,12000.0,3300.0,-72.5,StronglyImproved
Cambodia,4500.0,1300.0,-71.1,StronglyImproved
United Republic of Tanzania,80000.0,24000.0,-70.0,StronglyImproved
Democratic Republic of the Congo,43000.0,13000.0,-69.8,StronglyImproved
Botswana,15000.0,4800.0,-68.0,StronglyImproved
Thailand,54000.0,18000.0,-66.7,StronglyImproved
Côte d'Ivoire,44000.0,16000.0,-63.6,StronglyImproved
Namibia,7300.0,2700.0,-63.0,StronglyImproved
Australia,500.0,200.0,-60.0,StronglyImproved
Bahamas,500.0,200.0,-60.0,StronglyImproved
Romania,500.0,200.0,-60.0,StronglyImproved
Uruguay,500.0,200.0,-60.0,StronglyImproved
Ecuador,1500.0,620.0,-58.7,StronglyImproved
Central African Republic,11000.0,4800.0,-56.4,StronglyImproved
Eritrea,1100.0,500.0,-54.5,StronglyImproved
Portugal,1100.0,500.0,-54.5,StronglyImproved
Eswatini,5000.0,2400.0,-52.0,StronglyImproved
Cabo Verde,200.0,100.0,-50.0,StronglyImproved
Serbia,200.0,100.0,-50.0,StronglyImproved
Suriname,200.0,100.0,-50.0,StronglyImproved
Lesotho,12000.0,6100.0,-49.2,StronglyImproved
Niger,2300.0,1200.0,-47.8,StronglyImproved
Chad,5600.0,3100.0,-44.6,StronglyImproved
France,880.0,500.0,-43.2,StronglyImproved
Germany,880.0,500.0,-43.2,StronglyImproved
Italy,1200.0,710.0,-40.8,StronglyImproved
Liberia,3000.0,1800.0,-40.0,StronglyImproved
Jamaica,2400.0,1500.0,-37.5,StronglyImproved
Congo,6100.0,4000.0,-34.4,StronglyImproved
Togo,5600.0,3800.0,-32.1,StronglyImproved
Nigeria,78000.0,53000.0,-32.1,StronglyImproved
South Africa,100000.0,71000.0,-29.0,Improved
Gabon,1600.0,1200.0,-25.0,Improved
Senegal,1700.0,1300.0,-23.5,Improved
Viet Nam,6100.0,4700.0,-23.0,Improved
Ghana,18000.0,14000.0,-22.2,Improved
Mali,7700.0,6500.0,-15.6,Improved
Guinea,5000.0,4300.0,-14.0,Improved
El Salvador,810.0,700.0,-13.6,Improved
Sierra Leone,2400.0,2100.0,-12.5,Improved
Somalia,810.0,710.0,-12.3,Improved
Benin,2400.0,2200.0,-8.3,Improved
Guatemala,2400.0,2200.0,-8.3,Improved
Cameroon,19000.0,18000.0,-5.3,Improved
Malaysia,2700.0,2600.0,-3.7,Improved
Barbados,100.0,100.0,0.0,Stable
Bhutan,100.0,100.0,0.0,Stable
Bolivia (Plurinational State of),670.0,670.0,0.0,Stable
Bosnia and Herzegovina,100.0,100.0,0.0,Stable
Brazil,15000.0,15000.0,0.0,Stable
Bulgaria,100.0,100.0,0.0,Stable
Comoros,100.0,100.0,0.0,Stable
Costa Rica,500.0,500.0,0.0,Stable
Croatia,100.0,100.0,0.0,Stable
Czechia,100.0,100.0,0.0,Stable
Denmark,100.0,100.0,0.0,Stable
Djibouti,500.0,500.0,0.0,Stable
Estonia,100.0,100.0,0.0,Stable
Finland,100.0,100.0,0.0,Stable
Hungary,100.0,100.0,0.0,Stable
Iceland,100.0,100.0,0.0,Stable
Ireland,100.0,100.0,0.0,Stable
Israel,100.0,100.0,0.0,Stable
Jordan,100.0,100.0,0.0,Stable
Kuwait,100.0,100.0,0.0,Stable
Latvia,100.0,100.0,0.0,Stable
Lebanon,100.0,100.0,0.0,Stable
Luxembourg,100.0,100.0,0.0,Stable
Mauritania,500.0,500.0,0.0,Stable
Mongolia,100.0,100.0,0.0,Stable
Montenegro,100.0,100.0,0.0,Stable
Morocco,500.0,500.0,0.0,Stable
New Zealand,100.0,100.0,0.0,Stable
Norway,100.0,100.0,0.0,Stable
Oman,100.0,100.0,0.0,Stable
Panama,500.0,500.0,0.0,Stable
Republic of North Macedonia,100.0,100.0,0.0,Stable
Slovakia,100.0,100.0,0.0,Stable
Slovenia,100.0,100.0,0.0,Stable
Syrian Arab Republic,100.0,100.0,0.0,Stable
Tunisia,100.0,100.0,0.0,Stable
Republic of Moldova,500.0,570.0,14.0,Stable
Argentina,1400.0,1700.0,21.4,Stable
Myanmar,5800.0,7800.0,34.5,Worsened
Mozambique,40000.0,54000.0,35.0,Worsened
Ukraine,4500.0,6100.0,35.6,Worsened
Paraguay,500.0,720.0,44.0,Worsened
Uzbekistan,840.0,1300.0,54.8,Worsened
Guinea-Bissau,1100.0,1800.0,63.6,Worsened
Nepal,500.0,910.0,82.0,Worsened
South Sudan,5100.0,9900.0,94.1,Worsened
Gambia,500.0,980.0,96.0,Worsened
Algeria,100.0,200.0,100.0,Worsened
Armenia,100.0,200.0,100.0,Worsened
Belize,100.0,200.0,100.0,Worsened
Guyana,100.0,200.0,100.0,Worsened
Kyrgyzstan,100.0,200.0,100.0,Worsened
Libya,100.0,200.0,100.0,Worsened
Nicaragua,100.0,200.0,100.0,Worsened
Sri Lanka,100.0,200.0,100.0,Worsened
Cuba,200.0,500.0,150.0,Worsened
Equatorial Guinea,680.0,1800.0,164.7,Worsened
Angola,4800.0,14000.0,191.7,Worsened
Madagascar,500.0,1700.0,240.0,Worsened
Sudan,650.0,2900.0,346.2,Worsened
Afghanistan,100.0,500.0,400.0,Worsened
Belarus,100.0,500.0,400.0,Worsened
Egypt,100.0,500.0,400.0,Worsened
Georgia,100.0,500.0,400.0,Worsened
Kazakhstan,100.0,500.0,400.0,Worsened
Lao People's Democratic Republic,100.0,500.0,400.0,Worsened
Tajikistan,100.0,500.0,400.0,Worsened
Yemen,100.0,500.0,400.0,Worsened
Iran (Islamic Republic of),500.0,2600.0,420.0,Worsened
Bangladesh,100.0,580.0,480.0,Worsened
Mauritius,100.0,610.0,510.0,Worsened
Philippines,100.0,1200.0,1100.0,Worsened
Indonesia,1900.0,38000.0,1900.0,Worsened
Pakistan,100.0,6400.0,6300.0,Worsened
